At. Num,Ion Charge,Ground Shells,Ground Level,Ionization Energy (eV),Uncertainty (eV)
53,+29,[Ar].3d6,5D<4>,(1720),4
53,+30,[Ar].3d5,6S<5/2>,(1812),4
53,+31,[Ar].3d4,5D0,(1911),4
53,+32,[Ar].3d3,4F<3/2>,(1999),4
53,+33,[Ar].3d2,3F<2>,(2093),5
53,+34,[Ar].3d,2D<3/2>,(2181),5
53,+35,[Ne].3s2.3p6,1S0,(2431),5
53,+36,[Ne].3s2.3p5,2P*<3/2>,(2510),5
53,+37,[Ne].3s2.3p4,3P<2>,(2598),4
53,+38,[Ne].3s2.3p3,4S*<3/2>,(2680),4
53,+39,[Ne].3s2.3p2,3P0,(2836),4
53,+40,[Ne].3s2.3p,2P*<1/2>,(2926),4
53,+41,[Ne].3s2,1S0,(3096),4
53,+42,[Ne].3s,2S<1/2>,[3185.5],0.5
53,+43,1s2.2s2.2p6,1S0,(7337),4
53,+44,1s2.2s2.2p5,2P*<3/2>,(7563),4
53,+45,1s2.2s2.2p4,3P<2>,(7811),4
53,+46,1s2.2s2.2p3,"(0,3/2)*<3/2>",(8044),4
53,+47,1s2.2s2.2p2,3P0,(8601),4
53,+48,1s2.2s2.2p,2P*<1/2>,(8867),4
53,+49,1s2.2s2,1S0,(9196),4
53,+50,1s2.2s,2S<1/2>,(9421.10),0.04
53,+51,1s2,1S0,(38717.00),0.03
53,+52,1s,2S<1/2>,(39721.549),0.017
54,0,[Cd].5p6,1S0,12.1298437,0.0000015
54,+1,[Cd].5p5,2P*<3/2>,[20.975],0.004
54,+2,[Cd].5p4,3P<2>,[31.05],0.04
54,+3,[Cd].5p3,4S*<3/2>,42.20,0.20
54,+4,[Cd].5p2,3P0,[54.1],0.5
54,+5,[Cd].5p,2P*<1/2>,66.703,0.007
54,+6,[Kr].4d10.5s2,1S0,[91.6],0.5
54,+7,[Kr].4d10.5s,2S<1/2>,105.9778,0.0025
54,+8,[Kr].4d10,1S0,179.84,0.12
54,+9,[Kr].4d9,2D<5/2>,(202.0),2.2
54,+10,[Kr].4d8,3F<4>,[229.02],0.20
54,+11,[Kr].4d7,4F<9/2>,(255.0),2.5
54,+12,[Kr].4d6,5D<4>,(281),3
54,+13,[Kr].4d5,6S<5/2>,(314),3
54,+14,[Kr].4d4,5D0,(343),3
54,+15,[Kr].4d3,4F<3/2>,(374),3
54,+16,[Kr].4d2,3F<2>,(404),3
54,+17,[Kr].4d,2D<3/2>,(434),3
54,+18,[Ar].3d10.4s2.4p6,1S0,(549),3
54,+19,[Ar].3d10.4s2.4p5,2P*<3/2>,(582),4
54,+20,[Ar].3d10.4s2.4p4,3P<2>,(616),4
54,+21,[Ar].3d10.4s2.4p3,4S*<3/2>,(650),4
54,+22,[Ar].3d10.4s2.4p2,3P0,(700),4
54,+23,[Ar].3d10.4s2.4p,2P*<1/2>,(736),4
54,+24,[Ar].3d10.4s2,1S0,(818),4
54,+25,[Ar].3d10.4s,2S<1/2>,[857.0],0.4
54,+26,[Ar].3d10,1S0,(1493),4
54,+27,[Ar].3d9,2D<5/2>,(1571),4
54,+28,[Ar].3d8,"(0,4)<4>",(1653),4
54,+29,[Ar].3d7,4F<9/2>,(1742),4
54,+30,[Ar].3d6,5D<4>,(1826),4
54,+31,[Ar].3d5,6S<5/2>,(1919),4
54,+32,[Ar].3d4,5D0,(2023),4
54,+33,[Ar].3d3,4F<3/2>,(2113),5
54,+34,[Ar].3d2,3F<2>,(2209),5
54,+35,[Ar].3d,2D<3/2>,(2300),5
54,+36,[Ne].3s2.3p6,1S0,(2556),5
54,+37,[Ne].3s2.3p5,2P*<3/2>,(2637),4
54,+38,[Ne].3s2.3p4,3P<2>,(2726),4
54,+39,[Ne].3s2.3p3,4S*<3/2>,(2811),4
54,+40,[Ne].3s2.3p2,3P0,(2975),4
54,+41,[Ne].3s2.3p,2P*<1/2>,(3068),4
54,+42,[Ne].3s2,1S0,(3243),4
54,+43,[Ne].3s,2S<1/2>,[3333.8],0.5
54,+44,1s2.2s2.2p6,1S0,(7660),4
54,+45,1s2.2s2.2p5,2P*<3/2>,(7889),4
54,+46,1s2.2s2.2p4,3P<2>,(8144),4
54,+47,1s2.2s2.2p3,"(0,3/2)*<3/2>",(8382),4
54,+48,1s2.2s2.2p2,3P0,(8971),4
54,+49,1s2.2s2.2p,2P*<1/2>,(9243),4
54,+50,1s2.2s2,1S0,(9581),4
54,+51,1s2.2s,2S<1/2>,(9810.37),0.04
54,+52,1s2,1S0,(40271.73),0.03
54,+53,1s,2S<1/2>,(41299.892),0.019
55,0,[Xe].6s,2S<1/2>,3.89390572743,0.00000000017
55,+1,[Cd].5p6,1S0,23.15745,0.00006
55,+2,[Cd].5p5,2P*<3/2>,[33.195],0.004
55,+3,[Cd].5p4,3P<2>,(43.0),1.7
55,+4,[Cd].5p3,4S*<3/2>,(56.0),1.9
55,+5,[Cd].5p2,3P0,(69.1),2.0
55,+6,[Cd].5p,2P*<1/2>,(82.9),2.0
55,+7,[Kr].4d10.5s2,1S0,[110.1],0.6
55,+8,[Kr].4d10.5s,2S<1/2>,[125.61],0.09
55,+9,[Kr].4d10,1S0,213.3,2.5
55,+10,[Kr].4d9,2D<5/2>,(233.0),2.4
55,+11,[Kr].4d8,3F<4>,(261.0),2.5
55,+12,[Kr].4d7,4F<9/2>,(289),3
55,+13,[Kr].4d6,5D<4>,(316),3
55,+14,[Kr].4d5,6S<5/2>,(352),3
55,+15,[Kr].4d4,5D0,(382),3
55,+16,[Kr].4d3,4F<3/2>,(413),3
55,+17,[Kr].4d2,3F<2>,(445),3
55,+18,[Kr].4d,2D<3/2>,(476),3
55,+19,[Ar].3d10.4s2.4p6,1S0,(597),4
55,+20,[Ar].3d10.4s2.4p5,2P*<3/2>,(629),4
55,+21,[Ar].3d10.4s2.4p4,3P<2>,(666),4
55,+22,[Ar].3d10.4s2.4p3,4S*<3/2>,(700),4
55,+23,[Ar].3d10.4s2.4p2,3P0,(753),4
55,+24,[Ar].3d10.4s2.4p,2P*<1/2>,(791),4
55,+25,[Ar].3d10.4s2,1S0,(875),4
55,+26,[Ar].3d10.4s,2S<1/2>,[916.1],0.5
55,+27,[Ar].3d10,1S0,(1592),4
55,+28,[Ar].3d9,2D<5/2>,(1672),4
55,+29,[Ar].3d8,"(0,4)<4>",(1757),4
55,+30,[Ar].3d7,4F<9/2>,(1848),4
55,+31,[Ar].3d6,5D<4>,(1936),4
55,+32,[Ar].3d5,6S<5/2>,(2029),4
55,+33,[Ar].3d4,5D0,(2137),5
55,+34,[Ar].3d3,4F<3/2>,(2230),5
55,+35,[Ar].3d2,3F<2>,(2329),5
55,+36,[Ar].3d,2D<3/2>,(2422),5
55,+37,[Ne].3s2.3p6,1S0,(2683),4
55,+38,[Ne].3s2.3p5,2P*<3/2>,(2767),4
55,+39,[Ne].3s2.3p4,3P<2>,(2859),4
55,+40,[Ne].3s2.3p3,4S*<3/2>,(2945),4
55,+41,[Ne].3s2.3p2,3P0,(3118),4
55,+42,[Ne].3s2.3p,2P*<1/2>,(3214),4
55,+43,[Ne].3s2,1S0,(3392),4
55,+44,[Ne].3s,2S<1/2>,(3485),4
55,+45,1s2.2s2.2p6,1S0,(7989),4
55,+46,1s2.2s2.2p5,2P*<3/2>,(8224),4
55,+47,1s2.2s2.2p4,"(0,2)<2>",(8484),4
55,+48,1s2.2s2.2p3,"(0,3/2)*<3/2>",(8726),4
55,+49,1s2.2s2.2p2,3P0,(9350),4
55,+50,1s2.2s2.2p,2P*<1/2>,(9629),4
55,+51,1s2.2s2,1S0,(9974),4
55,+52,1s2.2s,2S<1/2>,(10208.78),0.05
55,+53,1s2,1S0,(41861.08),0.04
55,+54,1s,2S<1/2>,(42913.144),0.020
56,0,[Xe].6s2,1S0,5.2116646,0.0000012
56,+1,[Xe].6s,2S<1/2>,10.003826,0.000012
56,+2,[Cd].5p6,1S0,35.8438,0.0025
56,+3,[Cd].5p5,2P*<3/2>,[47.0],0.3
56,+4,[Cd].5p4,3P<2>,(58.0),1.9
56,+5,[Cd].5p3,4S*<3/2>,(71.0),2.0
56,+6,[Cd].5p2,3P0,(86.0),2.0
56,+7,[Cd].5p,2P*<1/2>,(101.0),2.1
56,+8,[Kr].4d10.5s2,1S0,[130.5],0.6
56,+9,[Kr].4d10.5s,2S<1/2>,[146.52],0.12
56,+10,[Kr].4d10,1S0,(241.0),2.4
56,+11,[Kr].4d9,2D<5/2>,(267.1),2.5
56,+12,[Kr].4d8,3F<4>,(296),3
56,+13,[Kr].4d7,4F<9/2>,(325),3
56,+14,[Kr].4d6,5D<4>,(354),3
56,+15,[Kr].4d5,6S<5/2>,(390),3
56,+16,[Kr].4d4,5D0,(422),3
56,+17,[Kr].4d3,4F<3/2>,(455),3
56,+18,[Kr].4d2,3F<2>,(488),3
56,+19,[Kr].4d,2D<3/2>,(520),4
56,+20,[Ar].3d10.4s2.4p6,1S0,(646),4
56,+21,[Ar].3d10.4s2.4p5,2P*<3/2>,(679),4
56,+22,[Ar].3d10.4s2.4p4,3P<2>,(717),4
56,+23,[Ar].3d10.4s2.4p3,4S*<3/2>,(752),4
56,+24,[Ar].3d10.4s2.4p2,3P0,(809),4
56,+25,[Ar].3d10.4s2.4p,2P*<1/2>,(846),4
56,+26,[Ar].3d10.4s2,1S0,(935),4
56,+27,[Ar].3d10.4s,2S<1/2>,[976.62],0.11
56,+28,[Ar].3d10,1S0,(1695),4
56,+29,[Ar].3d9,2D<5/2>,(1776),4
56,+30,[Ar].3d8,"(0,4)<4>",(1864),4
56,+31,[Ar].3d7,4F<9/2>,(1958),4
56,+32,[Ar].3d6,5D<4>,(2047),4
56,+33,[Ar].3d5,6S<5/2>,(2142),5
56,+34,[Ar].3d4,5D0,(2256),5
56,+35,[Ar].3d3,4F<3/2>,(2349),5
56,+36,[Ar].3d2,3F<2>,(2452),5
56,+37,[Ar].3d,2D<3/2>,(2547),4
56,+38,[Ne].3s2.3p6,1S0,(2814),4
56,+39,[Ne].3s2.3p5,2P*<3/2>,(2901),4
56,+40,[Ne].3s2.3p4,3P<2>,(2994),4
56,+41,[Ne].3s2.3p3,4S*<3/2>,(3081),4
56,+42,[Ne].3s2.3p2,3P0,(3266),4
56,+43,[Ne].3s2.3p,2P*<1/2>,(3363),4
56,+44,[Ne].3s2,1S0,(3546),4
56,+45,[Ne].3s,2S<1/2>,(3640),4
56,+46,1s2.2s2.2p6,1S0,(8326),4
56,+47,1s2.2s2.2p5,2P*<3/2>,(8565),4
56,+48,1s2.2s2.2p4,"(0,2)<2>",(8831),4
56,+49,1s2.2s2.2p3,"(0,3/2)*<3/2>",(9077),4
56,+50,1s2.2s2.2p2,3P0,(9739),4
56,+51,1s2.2s2.2p,2P*<1/2>,(10023),4
56,+52,1s2.2s2,1S0,(10376),4
56,+53,1s2.2s,2S<1/2>,(10616.42),0.05
56,+54,1s2,1S0,(43485.37),0.04
56,+55,1s,2S<1/2>,(44561.633),0.024
57,0,[Xe].5d.6s2,2D<3/2>,5.5769,0.0006
57,+1,[Xe].5d2,3F<2>,11.18496,0.00006
57,+2,[Xe].5d,2D<3/2>,19.1773,0.0006
57,+3,[Cd].5p6,1S0,[49.95],0.06
57,+4,[Cd].5p5,2P*<3/2>,[61.6],0.6
57,+5,[Cd].5p4,3P<2>,(74.0),2.0
57,+6,[Cd].5p3,4S*<3/2>,(88.0),2.0
57,+7,[Cd].5p2,3P0,(105.0),2.1
57,+8,[Cd].5p,2P*<1/2>,(119.0),2.2
57,+9,[Kr].4d10.5s2,1S0,[151.4],0.7
57,+10,[Kr].4d10.5s,2S<1/2>,[168.77],0.12
57,+11,[Kr].4d10,1S0,(275.0),2.5
57,+12,[Kr].4d9,2D<5/2>,(303),3
57,+13,[Kr].4d8,3F<4>,(332),3
57,+14,[Kr].4d7,4F<9/2>,(364),3
57,+15,[Kr].4d6,5D<4>,(393),3
57,+16,[Kr].4d5,6S<5/2>,(431),3
57,+17,[Kr].4d4,5D0,(464),3
57,+18,[Kr].4d3,4F<3/2>,(498),3
57,+19,[Kr].4d2,3F<2>,(533),4
57,+20,[Kr].4d,2D<3/2>,(566),4
57,+21,[Ar].3d10.4s2.4p6,1S0,(696),4
57,+22,[Ar].3d10.4s2.4p5,2P*<3/2>,(731),4
57,+23,[Ar].3d10.4s2.4p4,3P<2>,(770),4
57,+24,[Ar].3d10.4s2.4p3,4S*<3/2>,(806),4
57,+25,[Ar].3d10.4s2.4p2,3P0,(865),4
57,+26,[Ar].3d10.4s2.4p,2P*<1/2>,(906),4
57,+27,[Ar].3d10.4s2,1S0,(995),4
57,+28,[Ar].3d10.4s,2S<1/2>,[1039.09],0.12
57,+29,[Ar].3d10,1S0,(1800),4
57,+30,[Ar].3d9,2D<5/2>,(1884),4
57,+31,[Ar].3d8,3F<4>,(1974),4
57,+32,[Ar].3d7,4F<9/2>,(2069),4
57,+33,[Ar].3d6,<4>,(2162),5
57,+34,[Ar].3d5,<5/2>,(2259),5
57,+35,[Ar].3d4,5D0,(2377),5
57,+36,[Ar].3d3,4F<3/2>,(2473),5
57,+37,[Ar].3d2,3F<2>,(2577),4
57,+38,[Ar].3d,2D<3/2>,(2674),4
57,+39,[Ne].3s2.3p6,1S0,(2950),4
57,+40,[Ne].3s2.3p5,2P*<3/2>,(3036),4
57,+41,[Ne].3s2.3p4,3P<2>,(3133),4
57,+42,[Ne].3s2.3p3,2P*<3/2>,(3222),4
57,+43,[Ne].3s2.3p2,3P0,(3416),4
57,+44,[Ne].3s2.3p,2P*<1/2>,(3515),4
57,+45,[Ne].3s2,1S0,(3704),4
57,+46,[Ne].3s,2S<1/2>,(3800),4
57,+47,1s2.2s2.2p6,1S0,(8669),4
57,+48,1s2.2s2.2p5,2P*<3/2>,(8914),4
57,+49,1s2.2s2.2p4,3P<2>,(9184),4
57,+50,1s2.2s2.2p3,"(0,3/2)*<3/2>",(9437),4
57,+51,1s2.2s2.2p2,3P0,(10136),4
57,+52,1s2.2s2.2p,2P*<1/2>,(10426),4
57,+53,1s2.2s2,1S0,(10789),5
57,+54,1s2.2s,2S<1/2>,(11033.40),0.05
57,+55,1s2,1S0,(45145.00),0.04
57,+56,1s,2S<1/2>,(46245.77),0.03
58,0,[Xe].4f.5d.6s2,1G*<4>,5.5386,0.0004
58,+1,[Xe].4f.5d2,4H*<7/2>,[10.956],0.020
58,+2,[Xe].4f2,3H<4>,[20.1974],0.0025
58,+3,[Xe].4f,2F*<5/2>,[36.906],0.009
58,+4,[Cd].5p6,1S0,[65.55],0.25
58,+5,[Cd].5p5,2P*<3/2>,[77.6],1.2
58,+6,[Cd].5p4,3P<2>,(91.0),2.0
58,+7,[Cd].5p3,4S*<3/2>,(106.0),2.1
58,+8,[Cd].5p2,3P0,(125.0),2.2
58,+9,[Cd].5p,2P*<1/2>,(140.0),2.2
58,+10,[Kr].4d10.5s2,1S0,(172.0),2.4
58,+11,[Kr].4d10.5s,2S<1/2>,[192.24],0.12
58,+12,[Kr].4d10,1S0,(312),3
58,+13,[Kr].4d9,2D<5/2>,(340),3
58,+14,[Kr].4d8,3F<4>,(371),3
58,+15,[Kr].4d7,4F<9/2>,(403),3
58,+16,[Kr].4d6,5D<4>,(435),3
58,+17,[Kr].4d5,6S<5/2>,(472),3
58,+18,[Kr].4d4,5D0,(509),3
58,+19,[Kr].4d3,4F<3/2>,(543),4
58,+20,[Kr].4d2,3F<2>,(579),4
58,+21,[Kr].4d,2D<3/2>,(613),4
58,+22,[Ar].3d10.4s2.4p6,1S0,(749),4
58,+23,[Ar].3d10.4s2.4p5,2P*<3/2>,(785),4
58,+24,[Ar].3d10.4s2.4p4,3P<2>,(824),4
58,+25,[Ar].3d10.4s2.4p3,4S*<3/2>,(862),4
58,+26,[Ar].3d10.4s2.4p2,3P0,(924),4
58,+27,[Ar].3d10.4s2.4p,2P*<1/2>,(965),4
58,+28,[Ar].3d10.4s2,1S0,(1060),4
58,+29,[Ar].3d10.4s,2S<1/2>,[1103.5],0.5
58,+30,[Ar].3d10,1S0,(1908),4
58,+31,[Ar].3d9,2D<5/2>,(1994),4
58,+32,[Ar].3d8,3F<4>,(2087),4
58,+33,[Ar].3d7,4F<9/2>,(2185),5
58,+34,[Ar].3d6,<4>,(2280),5
58,+35,[Ar].3d5,<5/2>,(2378),5
58,+36,[Ar].3d4,5D0,(2500),5
58,+37,[Ar].3d3,4F<3/2>,(2600),4
58,+38,[Ar].3d2,3F<2>,(2706),4
58,+39,[Ar].3d,2D<3/2>,(2806),4
58,+40,[Ne].3s2.3p6,1S0,(3087),4
58,+41,[Ne].3s2.3p5,2P*<3/2>,(3176),4
58,+42,[Ne].3s2.3p4,3P<2>,(3274),4
58,+43,[Ne].3s2.3p3,2P*<3/2>,(3366),4
58,+44,[Ne].3s2.3p2,3P0,(3570),4
58,+45,[Ne].3s2.3p,2P*<1/2>,(3672),4
58,+46,[Ne].3s2,1S0,(3865),4
58,+47,[Ne].3s,2S<1/2>,(3963),4
58,+48,1s2.2s2.2p6,1S0,(9020),4
58,+49,1s2.2s2.2p5,2P*<3/2>,(9269),4
58,+50,1s2.2s2.2p4,3P<2>,(9545),4
58,+51,1s2.2s2.2p3,"(0,3/2)*<3/2>",(9803),4
58,+52,1s2.2s2.2p2,3P0,(10542),4
58,+53,1s2.2s2.2p,2P*<1/2>,(10840),5
58,+54,1s2.2s2,1S0,(11210),5
58,+55,1s2.2s,2S<1/2>,(11459.85),0.06
58,+56,1s2,1S0,(46840.31),0.05
58,+57,1s,2S<1/2>,(47965.89),0.03
59,0,[Xe].4f3.6s2,4I*<9/2>,[5.4702],0.0004
59,+1,[Xe].4f3.6s,"(9/2,1/2)*<4>",[10.631],0.020
59,+2,[Xe].4f3,4I*<9/2>,21.6237,0.0025
59,+3,[Xe].4f2,3H<4>,[38.981],0.025
59,+4,[Xe].4f,2F*<5/2>,[57.53],0.05
59,+5,[Cd].5p6,1S0,(82),4
59,+6,[Cd].4f.5p4,*,(97),5
59,+7,[Cd].4f.5p3,,(112),6
59,+8,[Cd].4f.5p2,*,(131),7
59,+9,[Cd].4f2,,(148),7
59,+10,[Cd].5p,2P*<1/2>,(162.0),2.4
59,+11,[Kr].4d10.5s2,1S0,(196.0),2.5
59,+12,[Kr].4d10.5s,2S<1/2>,[217.02],0.12
59,+13,[Kr].4d10,1S0,(350),3
59,+14,[Kr].4d9,2D<5/2>,(378),3
59,+15,[Kr].4d8,3F<4>,(412),3
59,+16,[Kr].4d7,4F<9/2>,(445),3
59,+17,[Kr].4d6,5D<4>,(478),3
59,+18,[Kr].4d5,6S<5/2>,(516),3
59,+19,[Kr].4d4,5D0,(554),4
59,+20,[Kr].4d3,4F<3/2>,(590),4
59,+21,[Kr].4d2,3F<2>,(627),4
59,+22,[Kr].4d,2D<3/2>,(663),4
59,+23,[Ar].3d10.4s2.4p6,1S0,(803),4
59,+24,[Ar].3d10.4s2.4p5,2P*<3/2>,(840),4
59,+25,[Ar].3d10.4s2.4p4,3P<2>,(880),4
59,+26,[Ar].3d10.4s2.4p3,4S*<3/2>,(920),4
59,+27,[Ar].3d10.4s2.4p2,3P0,(985),4
59,+28,[Ar].3d10.4s2.4p,2P*<1/2>,(1028),4
59,+29,[Ar].3d10.4s2,1S0,(1124),4
59,+30,[Ar].3d10.4s,2S<1/2>,[1169.9],0.6
59,+31,[Ar].3d10,1S0,(2019),4
59,+32,[Ar].3d9,2D<5/2>,(2108),4
59,+33,[Ar].3d8,3F<4>,(2202),5
59,+34,[Ar].3d7,4F<9/2>,(2304),5
59,+35,[Ar].3d6,<4>,(2400),5
59,+36,[Ar].3d5,<5/2>,(2501),5
59,+37,[Ar].3d4,5D0,(2628),4
59,+38,[Ar].3d3,4F<3/2>,(2729),4
59,+39,[Ar].3d2,3F<2>,(2838),4
59,+40,[Ar].3d,2D<3/2>,(2941),4
59,+41,[Ne].3s2.3p6,1S0,(3227),4
59,+42,[Ne].3s2.3p5,2P*<3/2>,(3319),4
59,+43,[Ne].3s2.3p4,3P<2>,(3419),4
59,+44,[Ne].3s2.3p3,2P*<3/2>,(3512),4
59,+45,[Ne].3s2.3p2,3P0,(3729),4
59,+46,[Ne].3s2.3p,2P*<1/2>,(3832),4
59,+47,[Ne].3s2,1S0,(4030),4
59,+48,[Ne].3s,2S<1/2>,(4130),4
59,+49,1s2.2s2.2p6,1S0,(9378),4
59,+50,1s2.2s2.2p5,2P*<3/2>,(9632),4
59,+51,1s2.2s2.2p4,3P<2>,(9913),4
59,+52,1s2.2s2.2p3,"(0,3/2)*<3/2>",(10175),4
59,+53,1s2.2s2.2p2,3P0,(10959),5
59,+54,1s2.2s2.2p,2P*<1/2>,(11262),5
59,+55,1s2.2s2,1S0,(11641),5
59,+56,1s2.2s,2S<1/2>,(11895.89),0.06
59,+57,1s2,1S0,(48571.71),0.05
59,+58,1s,2S<1/2>,(49722.44),0.04
60,0,[Xe].4f4.6s2,5I<4>,5.5250,0.0006
60,+1,[Xe].4f4.6s,6I<7/2>,[10.783],0.020
60,+2,[Xe].4f4,5I<4>,[22.09],0.04
60,+3,[Xe].4f3,4I*<9/2>,[40.60],0.04
60,+4,[Xe].4f2,3H<4>,[60.0],0.3
60,+5,[Cd].4f2.5p5,*,(84),4
60,+6,[Cd].4f2.5p4,,(99),5
60,+7,[Cd].4f2.5p3,*,(114),6
60,+8,[Cd].4f2.5p2,,(136),7
60,+9,[Cd].4f2.5p,*,(152),8
60,+10,[Cd].4f2,,(168),8
60,+11,[Cd].4f,2F*<5/2>,(195),10
60,+12,[Kr].4d10.5s2,1S0,(221),3
60,+13,[Kr].4d10.5s,2S<1/2>,[243.00],0.20
60,+14,[Kr].4d10,1S0,(389),3
60,+15,[Kr].4d9,2D<5/2>,(420),3
60,+16,[Kr].4d8,3F<4>,(453),3
60,+17,[Kr].4d7,4F<9/2>,(489),3
60,+18,[Kr].4d6,5D<4>,(522),3
60,+19,[Kr].4d5,6S<5/2>,(562),4
60,+20,[Kr].4d4,5D0,(602),4
60,+21,[Kr].4d3,4F<3/2>,(638),4
60,+22,[Kr].4d2,3F<2>,(678),4
60,+23,[Kr].4d,2D<3/2>,(714),4
60,+24,[Ar].3d10.4s2.4p6,1S0,(859),4
60,+25,[Ar].3d10.4s2.4p5,2P*<3/2>,(896),4
60,+26,[Ar].3d10.4s2.4p4,3P<2>,(939),4
60,+27,[Ar].3d10.4s2.4p3,4S*<3/2>,(978),4
60,+28,[Ar].3d10.4s2.4p2,3P0,(1049),4
60,+29,[Ar].3d10.4s2.4p,2P*<1/2>,(1092),4
60,+30,[Ar].3d10.4s2,1S0,(1191),4
60,+31,[Ar].3d10.4s,2S<1/2>,[1238.42],0.17
60,+32,[Ar].3d10,1S0,(2134),4
60,+33,[Ar].3d9,2D<5/2>,(2224),5
60,+34,[Ar].3d8,3F<4>,(2321),5
60,+35,[Ar].3d7,4F<9/2>,(2425),5
60,+36,[Ar].3d6,<4>,(2525),5
60,+37,[Ar].3d5,<5/2>,(2627),4
60,+38,[Ar].3d4,5D0,(2758),4
60,+39,[Ar].3d3,4F<3/2>,(2861),4
60,+40,[Ar].3d2,3F<2>,(2974),4
60,+41,[Ar].3d,2D<3/2>,(3078),4
60,+42,[Ne].3s2.3p6,1S0,(3371),4
60,+43,[Ne].3s2.3p5,2P*<3/2>,(3465),4
60,+44,[Ne].3s2.3p4,3P<2>,(3567),4
60,+45,[Ne].3s2.3p3,2P*<3/2>,(3662),4
60,+46,[Ne].3s2.3p2,3P0,(3891),4
60,+47,[Ne].3s2.3p,2P*<1/2>,(3997),4
60,+48,[Ne].3s2,1S0,(4198),4
60,+49,[Ne].3s,2S<1/2>,(4302),4
60,+50,1s2.2s2.2p6,1S0,(9742),4
60,+51,1s2.2s2.2p5,2P*<3/2>,(10002),4
60,+52,1s2.2s2.2p4,3P<2>,(10288),4
60,+53,1s2.2s2.2p3,"(0,3/2)*<3/2>",(10555),5
60,+54,1s2.2s2.2p2,3P0,(11384),5
60,+55,1s2.2s2.2p,2P*<1/2>,(11694),5
60,+56,1s2.2s2,1S0,(12082),5
60,+57,1s2.2s,2S<1/2>,(12341.66),0.07
60,+58,1s2,1S0,(50339.59),0.06
60,+59,1s,2S<1/2>,(51515.78),0.04
61,0,[Xe].4f5.6s2,6H*<5/2>,5.58187,0.00004
61,+1,[Xe].4f5.6s,7H*<2>,[10.938],0.020
61,+2,[Xe].4f5,6H*<5/2>,[22.44],0.08
61,+3,[Xe].4f4,5I<4>,[41.17],0.09
61,+4,[Xe].4f3,4I*<9/2>,[61.7],0.3
61,+5,[Cd].4f3.5p5,,(85),4
61,+6,[Cd].4f3.5p4,*,(101),5
61,+7,[Cd].4f3.5p3,,(116),6
61,+8,[Cd].4f3.5p2,*,(138),7
61,+9,[Cd].4f3.5p,,(155),8
61,+10,[Cd].4f3,*,(174),9
61,+11,[Cd].4f2,,(202),10
61,+12,[Cd].4f,2F*<5/2>,(229),11
61,+13,[Kr].4d10.5s2,1S0,(248),3
61,+14,[Kr].4d10.5s,2S<1/2>,(269),3
61,+15,[Kr].4d10,1S0,(430),3
61,+16,[Kr].4d9,2D<5/2>,(462),3
61,+17,[Kr].4d8,3F<4>,(497),3
61,+18,[Kr].4d7,4F<9/2>,(534),3
61,+19,[Kr].4d6,5D<4>,(569),4
61,+20,[Kr].4d5,6S<5/2>,(609),4
61,+21,[Kr].4d4,5D0,(651),4
61,+22,[Kr].4d3,4F<3/2>,(689),4
61,+23,[Kr].4d2,3F<2>,(730),4
61,+24,[Kr].4d,2D<3/2>,(767),4
61,+25,[Ar].3d10.4s2.4p6,1S0,(916),4
61,+26,[Ar].3d10.4s2.4p5,2P*<3/2>,(956),4
61,+27,[Ar].3d10.4s2.4p4,3P<2>,(998),4
61,+28,[Ar].3d10.4s2.4p3,4S*<3/2>,(1040),4
61,+29,[Ar].3d10.4s2.4p2,3P0,(1113),4
61,+30,[Ar].3d10.4s2.4p,2P*<1/2>,(1158),4
61,+31,[Ar].3d10.4s2,1S0,(1261),4
61,+32,[Ar].3d10.4s,2S<1/2>,[1308.7],0.6
61,+33,[Ar].3d10,1S0,(2251),5
61,+34,[Ar].3d9,2D<5/2>,(2344),5
61,+35,[Ar].3d8,3F<4>,(2443),5
61,+36,[Ar].3d7,4F<9/2>,(2549),5
61,+37,[Ar].3d6,<4>,(2652),4
61,+38,[Ar].3d5,<5/2>,(2755),4
61,+39,[Ar].3d4,5D0,(2892),4
61,+40,[Ar].3d3,4F<3/2>,(2997),4
61,+41,[Ar].3d2,3F<2>,(3112),4
61,+42,[Ar].3d,2D<3/2>,(3219),4
61,+43,[Ne].3s2.3p6,1S0,(3519),4
61,+44,[Ne].3s2.3p5,2P*<3/2>,(3613),4
61,+45,[Ne].3s2.3p4,3P<2>,(3718),4
61,+46,[Ne].3s2.3p3,2P*<3/2>,(3816),4
61,+47,[Ne].3s2.3p2,3P0,(4056),4
61,+48,[Ne].3s2.3p,2P*<1/2>,(4166),4
61,+49,[Ne].3s2,1S0,(4371),4
61,+50,[Ne].3s,2S<1/2>,(4476),4
61,+51,1s2.2s2.2p6,1S0,(10115),4
61,+52,1s2.2s2.2p5,2P*<3/2>,(10378),4
61,+53,1s2.2s2.2p4,3P<2>,(10671),5
61,+54,1s2.2s2.2p3,"(0,3/2)*<3/2>",(10942),5
61,+55,1s2.2s2.2p2,3P0,(11819),5
61,+56,1s2.2s2.2p,2P*<1/2>,(12136),5
61,+57,1s2.2s2,1S0,(12532),6
61,+58,1s2.2s,2S<1/2>,(12797.26),0.07
61,+59,1s2,1S0,(52144.29),0.06
61,+60,1s,2S<1/2>,(53346.31),0.14
62,0,[Xe].4f6.6s2,7F0,5.643722,0.000021
