At. Num,Ion Charge,Ground Shells,Ground Level,Ionization Energy (eV),Uncertainty (eV)
36,+34,1s2,1S0,(17296.424),0.004
36,+35,1s,2S<1/2>,(17936.2405),0.0016
37,0,[Kr].5s,2S<1/2>,4.1771281,0.0000012
37,+1,[Ar].3d10.4s2.4p6,1S0,27.28954,0.00006
37,+2,[Ar].3d10.4s2.4p5,2P*<3/2>,[39.247],0.003
37,+3,[Ar].3d10.4s2.4p4,3P<2>,[52.20],0.25
37,+4,[Ar].3d10.4s2.4p3,4S*<3/2>,(68.44),0.15
37,+5,[Ar].3d10.4s2.4p2,3P0,(82.9),2.0
37,+6,[Ar].3d10.4s2.4p,2P*<1/2>,[98.67],0.04
37,+7,[Ar].3d10.4s2,1S0,[132.79],0.25
37,+8,[Ar].3d10.4s,2S<1/2>,150.628,0.025
37,+9,[Ar].3d10,1S0,277.12,0.12
37,+10,[Ar].3d9,2D<5/2>,(313.1),2.4
37,+11,[Ar].3d8,3F<4>,(356.0),2.5
37,+12,[Ar].3d7,4F<9/2>,(400),3
37,+13,[Ar].3d6,5D<4>,(443),3
37,+14,[Ar].3d5,6S<5/2>,(502),3
37,+15,[Ar].3d4,5D0,(550),3
37,+16,[Ar].3d3,4F<3/2>,(601),3
37,+17,[Ar].3d2,3F<2>,(654),3
37,+18,[Ar].3d,2D<3/2>,(706.0),2.2
37,+19,[Ne].3s2.3p6,1S0,[857],3
37,+20,[Ne].3s2.3p5,2P*<3/2>,[905.3],1.0
37,+21,[Ne].3s2.3p4,3P<2>,[958.9],1.4
37,+22,[Ne].3s2.3p3,4S*<3/2>,[1024],4
37,+23,[Ne].3s2.3p2,3P0,[1080],3
37,+24,[Ne].3s2.3p,2P*<1/2>,[1125],5
37,+25,[Ne].3s2,1S0,[1242.5],1.7
37,+26,[Ne].3s,2S<1/2>,[1294.57],0.04
37,+27,1s2.2s2.2p6,1S0,[3133.3],1.8
37,+28,1s2.2s2.2p5,2P*<3/2>,[3281],6
37,+29,1s2.2s2.2p4,3P<2>,[3443],8
37,+30,1s2.2s2.2p3,4S*<3/2>,[3600],30
37,+31,1s2.2s2.2p2,3P0,[3815],4
37,+32,1s2.2s2.2p,2P*<1/2>,[3988],3
37,+33,1s2.2s2,1S0,[4214],4
37,+34,1s2.2s,2S<1/2>,(4356.865),0.010
37,+35,1s2,1S0,(18305.886),0.004
37,+36,1s,2S<1/2>,(18965.5484),0.0020
38,0,[Kr].5s2,1S0,5.69486745,0.00000012
38,+1,[Kr].5s,2S<1/2>,11.0302765,0.0000025
38,+2,[Ar].3d10.4s2.4p6,1S0,42.88353,0.00019
38,+3,[Ar].3d10.4s2.4p5,2P*<3/2>,[56.280],0.003
38,+4,[Ar].3d10.4s2.4p4,3P<2>,[70.7],0.6
38,+5,[Ar].3d10.4s2.4p3,4S*<3/2>,(88.0),2.0
38,+6,[Ar].3d10.4s2.4p2,3P0,(104.0),2.0
38,+7,[Ar].3d10.4s2.4p,2P*<1/2>,[121.21],0.06
38,+8,[Ar].3d10.4s2,1S0,[158.33],0.25
38,+9,[Ar].3d10.4s,2S<1/2>,177.30,0.06
38,+10,[Ar].3d10,1S0,324.07,0.15
38,+11,[Ar].3d9,2D<5/2>,(362.0),2.5
38,+12,[Ar].3d8,3F<4>,(408),3
38,+13,[Ar].3d7,4F<9/2>,(454),3
38,+14,[Ar].3d6,5D<4>,(499),3
38,+15,[Ar].3d5,6S<5/2>,(562),3
38,+16,[Ar].3d4,5D0,(612),3
38,+17,[Ar].3d3,4F<3/2>,(665),3
38,+18,[Ar].3d2,3F<2>,(722),3
